Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
MAL	front	intro	axt4			0		# Introduction to Malachi<br>## Part 1: General Introduction<br><br>### Outline of Malachi<br><br>1. The word of Yahweh comes to Israel (1:1)<br>1. Yahweh loves Israel and rejects Esau (Edom) (1:2–5)<br>1. A message against the priests (1:6–2:9)<br>1. A message against Judah: they have broken faith by divorcing and intermarrying (2:10–16)<br>1. A message about the day of refining (2:17–3:6)<br>1. A message about tithing (3:7–12)<br>1. A message about those who others treated shamefully, but who were faithful to Yahweh (3:13–18)<br>1. Yahweh will punish the wicked and send Elijah before the "great and terrible day of Yahweh" (4:5–6)<br><br>### What is the Book of Malachi about?<br><br>The Book of Malachi is about the prophecies that Malachi spoke to the Jews who had returned from Babylon to Judah. At that time, the Jews were discouraged even though they had finished building a new temple. The wonderful things that previous prophets had promised for Judah had not yet happened. And the Persian Empire still ruled over them. As a result, they no longer were concerned about the law or worshiping Yahweh. Malachi rebuked them for not trusting in Yahweh. But he also promised them that Yahweh would do everything that he promised to do.<br><br>### How should the title of this book be translated?<br><br>This book traditionally has been titled "Malachi" or "The Book of Malachi." Translators may decide to call it "The Book about Malachi" or "The Sayings of Malachi." (See: [[rc://en/ta/man/translate/translate-names]])<br><br>### Who wrote the Book of Malachi?<br><br>The prophet Malachi wrote these messages from Yahweh to the Jews. However, since "Malachi" means "my messenger," it is possible that this was a title for this prophet. If so, we do not know his real name.<br><br>## Part 2: Important Religious and Cultural Concepts<br><br>### What was meant by the day of Yahweh?<br><br>Malachi spoke about "the day" several times. This is the same as "the day of Yahweh." In the Book of Malachi, this is the time when Yahweh would judge his people. He would remove those who wickedly sin and bless those who trust in him. (See: [[rc://en/tw/dict/bible/kt/dayofthelord]] and [[rc://en/tw/dict/bible/kt/sin]])<br>
MAL	1	intro	b7vm			0		# Malachi 01 General Notes<br>## Special concepts in this chapter<br><br>### Yahweh of hosts<br>This is an important title used in this chapter. It reminds the reader of the great power Yahweh has to punish the nations. (See: [[rc://en/tw/dict/bible/kt/yahwehofhosts]])<br><br>## Important figures of speech in this chapter<br><br>### Rhetorical questions<br>There are many rhetorical questions in this chapter. They all have a rather dramatic effect. They increase the emotional connotations of what is being said. (See: [[rc://en/ta/man/translate/figs-rquestion]])<br>
MAL	1	1	qm8z			0	The declaration of the word of Yahweh to Israel by the hand of Malachi	This can be expressed as a statement. "This is the declaration of the word of Yahweh to Israel by the hand of Malachi"
MAL	1	1	x4vm			0	Yahweh	This is the name of God that he revealed to his people in the Old Testament. See the translationWord page about Yahweh concerning how to translate this.
MAL	1	1	lx85	figs-idiom		0	by the hand of Malachi	The phrase "by the hand of" is an idiom that means that Yahweh used Malachi to deliver his message. Alternate translation: "through Malachi" or "spoken to them by Malachi" (See: [[rc://en/ta/man/translate/figs-idiom]])
MAL	1	2	vb2m	figs-rquestion		0	How have you loved us?	This question indicates that the people doubt the truth of what God says. This can be expressed as a statement. Alternate translation: "You have not shown that you love us." (See: [[rc://en/ta/man/translate/figs-rquestion]])
MAL	1	2	cy61	figs-rquestion		0	Was not Esau Jacob's brother?	This question, a reply of Yahweh reminding the people of their nation's history, may also be expressed as a statement. Alternate translation: "You know that Esau was Jacob's brother." (See: [[rc://en/ta/man/translate/figs-rquestion]])
MAL	1	2	l68t			0	declares Yahweh	"Yahweh has solemnly said this"
MAL	1	2	ef9g	figs-explicit		0	I have loved Jacob	Here "loved" implies a relationship of loyalty between Yahweh and Jacob, in which a covenant existed between them. This can be made explicit. Alternate translation: "as you know, I obligated myself with a covenant to love Jacob" (See: [[rc://en/ta/man/translate/figs-explicit]])
MAL	1	2	j176	figs-synecdoche		0	I have loved Jacob	This name "Jacob" refers here not only to Jacob, but also to all his descendants. (See: [[rc://en/ta/man/translate/figs-synecdoche]])
