Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
1CO	front	intro	e8ey			0		# Introduction to 1 Corinthians<br>## Part 1: General Introduction<br><br>### Outline of the Book of 1 Corinthians<br><br>1. Divisions in the church (1:10-4:21)<br>1. Moral sins and irregularities (5:1-13)<br>1. Christians taking other Christians to court (6:1-20)<br>1. Marriage and related matters (7:1-40)<br>1. Misuse of Christian liberty; food sacrificed to idols, fleeing idolatry; women's head coverings (8:1-13; 10:1-11:16)<br>1. Paul's rights as an apostle (9:1-27)<br>1. The Lord's Supper (11:17-34)<br>1. The gifts of the Holy Spirit (12:1-31)<br>1. Love (13:1-13)<br>1. The gifts of the Holy Spirit: prophecy and languages (14:1-40)<br>1. The resurrection of believers and the resurrection of Christ (15:1-58)<br>1. Closing: the contribution for Christians in Jerusalem, requests, and personal greetings (16:1-24)<br><br>### Who wrote the Book of 1 Corinthians?<br><br>Paul wrote 1 Corinthians. Paul was from the city of Tarsus. He had been known as Saul in his early life. Before becoming a Christian, Paul was a Pharisee. He persecuted Christians. After he became a Christian, he traveled several times throughout the Roman Empire telling people about Jesus.<br><br>Paul started the church that met in Corinth. He was staying in the city of Ephesus when he wrote this letter.<br><br>### What is the Book of 1 Corinthians about?<br><br>1 Corinthians is a letter that Paul wrote to the believers who were in the city of Corinth. Paul had heard that there were problems among the believers there. They were arguing with each other. Some of them did not understand some of the Christian teachings. And some of them were behaving badly. In this letter, Paul responded to them and encouraged them to live in a way that pleased God.<br><br>### How should the title of this book be translated?<br><br>Translators may choose to call this book by its traditional title, "First Corinthians." Or they may choose a clearer title, such as "Paul's First Letter to the Church in Corinth." (See: [[rc://en/ta/man/translate/translate-names]])<br><br>## Part 2: Important Religious and Cultural Concepts<br><br>### What was the city of Corinth like?<br><br>Corinth was a major city located in ancient Greece. Because it was near the Mediterranean Sea, many travelers and traders came to buy and sell goods there. This resulted in the city having people from many different cultures. The city was famous for having people who lived in immoral ways. The people worshipped Aphrodite, the Greek goddess of love. As part of the ceremonies honoring Aphrodite, her worshipers had sexual intercourse with temple prostitutes.<br><br>### What was the problem with meat sacrificed to idols?<br><br>Many animals were slaughtered and sacrificed to the false gods in Corinth. Priests and worshipers kept some of the meat. Much of the meat was sold in markets. Many Christians disagreed with each other over whether it was right for them to eat this meat, because it had been dedicated to a false god. Paul writes about this problem in 1 Corinthians.<br><br>## Part 3: Important Translation Issues<br><br>### How are the ideas of "holy" and "sanctify" represented in 1 Corinthians in the ULT?<br><br>The scriptures use such words to indicate any one of various ideas. For this reason, it is often difficult for translators to represent them well in their versions. In translating into English, 1 Corinthians ULT uses the following principles:<br><br>* Sometimes the meaning in a passage implies moral holiness. Especially important for understanding the gospel is the fact that God considers Christians to be sinless because they are united to Jesus Christ. Another related fact is that God is perfect and faultless. A third fact is that Christians are to conduct themselves in a blameless, faultless manner in life. In these cases, the ULT uses "holy," "holy God," "holy ones," or "holy people." (See: 1:2; 3:17)<br>* Sometimes the meaning in a passage indicates a simple reference to Christians without implying any particular role filled by them. In these cases, the ULT uses "believer" or "believers." (See: 6:1, 2; 14:33; 16:1, 15)<br>* Sometimes the meaning in the passage implies the idea of someone or something set apart for God alone. In these cases, the ULT uses "set apart," "dedicated to," "reserved for," or "sanctified." (See: 1:2; 6:11; 7:14, 34)<br><br>The UST will often be helpful as translators think about how to represent these ideas in their own versions.<br><br>### What is the meaning of "flesh?"<br><br>Paul frequently used the terms "flesh" or "fleshly" to refer to Christians who did sinful things. However, it is not the physical world that is evil. Paul also described Christians who lived in a righteous way as "spiritual." This is because they did what the Holy Spirit taught them to do. (See: [[rc://en/tw/dict/bible/kt/flesh]] and [[rc://en/tw/dict/bible/kt/righteous]] and [[rc://en/tw/dict/bible/kt/spirit]])<br><br>### What did Paul mean by the expression "in Christ," "in the Lord," etc.?<br><br>This kind of expression occurs in 1:2, 30, 31; 3:1; 4:10, 15, 17; 6:11, 19; 7:22; 9:1, 2; 11:11, 25; 12:3, 9, 13, 18, 25; 14:16; 15:18, 19, 22, 31, 58; 16:19, 24. Paul meant to express the idea of a very close union with Christ and the believers. At the same time, he often intended other meanings as well. See, for example, "those who have been dedicated in Christ Jesus" (1:2), where Paul specifically meant that Christian believers have been dedicated to Christ.<br><br>Please see the introduction to the Book of Romans for more details about this kind of expression.<br><br>### What are the major issues in the text of the Book of 1 Corinthians?<br><br>For the following verses, modern versions of the Bible differ from older versions. Translators are advised to follow the modern versions of the Bible. However, if in the translators' region there are Bibles that read according to older versions of the Bible, the translators can follow those. If so, these verses should be put inside square brackets ([]) to indicate that they were probably not original to 1 Corinthians.<br><br>* "Therefore glorify God with your body." Some older versions read "Therefore glorify God with your body and in your spirit, which are God's." (6:20)<br>* "I did this even though I myself was not under the law" (9:20). Some older versions leave this passage out.<br>* "for the sake of conscience--the conscience of the other man." Some older versions read "for the sake of conscience: for the earth and everything in it belong to the Lord: the conscience of the other man." (10:28)<br>* "and that I give my body to be burned" (13:3). Some older versions read, "and that I give my body so that I might boast."<br>* "But if anyone does not recognize this, let him not be recognized" (14:38). Some older versions read, "But if anyone is ignorant of this, let him be ignorant."<br><br><br>(See: [[rc://en/ta/man/translate/translate-textvariants]])<br>
1CO	1	intro	ud5y			0		# 1 Corinthians 01 General Notes<br>## Structure and formatting<br><br>The first three verses are a greeting. In the ancient Near East, this was a common way of starting a letter.<br><br>Some translations set each line of poetry farther to the right than the rest of the text to make it easier to read. The ULT does this with the words of verse 19, which are from the Old Testament.<br><br>## Special concepts in this chapter<br><br>### Disunity<br>In this chapter, Paul scolds the church for being divided and for following different apostles. (See: [[rc://en/tw/dict/bible/kt/apostle]])<br><br>### Spiritual gifts<br>Spiritual gifts are specific supernatural abilities to help the church. The Holy Spirit gives these gifts to Christians after they come to believe in Jesus. Paul lists spiritual gifts in Chapter 12. Some scholars believe the Holy Spirit gave some of these gifts only in the early church to help establish the developing church. Other scholars believe all the gifts of the Spirit are still available to help all Christians throughout the church history. (See: [[rc://en/tw/dict/bible/kt/faith]])<br><br>## Important figures of speech in this chapter<br><br>### Idioms<br><br>In this chapter, Paul refers to the return of Christ using two different phrases: "the revelation of our Lord Jesus Christ" and "the day of our Lord Jesus Christ." (See: [[rc://en/ta/man/translate/figs-idiom]])<br><br>### Rhetorical questions<br>Paul uses rhetorical questions to scold the Corinthians for dividing into factions and for relying on human wisdom. (See: [[rc://en/ta/man/translate/figs-rquestion]])<br><br>## Other possible translation difficulties in this chapter<br><br>### Stumbling block<br>A stumbling block is a rock people stumble over. Here it means the Jews find it hard to believe that God allowed his Messiah to be crucified. (See: [[rc://en/ta/man/translate/figs-metaphor]])<br>
1CO	1	1	e8j3		Παῦλος	1	Paul	Your language may have a particular way of introducing the author of a letter. Alternate translation: "I, Paul"
1CO	1	1	qp1n	translate-names	Σωσθένης, ὁ ἀδελφὸς	1	Sosthenes our brother	This indicates that both Paul and the Corinthians knew Sosthenes. Alternate translation: "Sosthenes the brother you and I know" (See: [[rc://en/ta/man/translate/translate-names]] and [[rc://en/ta/man/translate/figs-explicit]])
1CO	1	2	r9kg		τῇ ἐκκλησίᾳ τοῦ Θεοῦ ... ἐν ... Κορίνθῳ	1	to the church of God at Corinth	Your language may have a particular way of introducing the intended audience. Alternate translation: "wrote this letter to you in Corinth who believe in God"
1CO	1	2	e75p		ἡγιασμένοις ἐν Χριστῷ Ἰησοῦ	1	those who have been sanctified in Christ Jesus	Here "sanctified" refers to people whom God has reserved to honor him. Alternate translation: "to those whom Christ Jesus has set apart for God" or "to those whom God has set apart for himself because they belong to Christ Jesus"
1CO	1	2	e8jw	figs-activepassive	τῇ ... οὔσῃ ... κλητοῖς ἁγίοις ... τοῖς ἐπικαλουμένοις	1	who are called to be holy people	This can be stated in active form. Alternate translation: "whom God has called to be holy people" (See: [[rc://en/ta/man/translate/figs-activepassive]])
1CO	1	2	l21m	figs-metonymy	τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ Κυρίου ἡμῶν, Ἰησοῦ Χριστοῦ	1	who call on the name of our Lord Jesus Christ	The word "name" here is a metonym for person of Jesus Christ. Alternate translation: "who call on the Lord Jesus Christ" (See: [[rc://en/ta/man/translate/figs-metonymy]])
1CO	1	2	l9rq	figs-inclusive		0	their Lord and ours	The word "ours" includes Paul's audience. Jesus is the Lord of Paul and the Corinthians and all the churches. (See: [[rc://en/ta/man/translate/figs-inclusive]])
1CO	1	3	gc2b			0	General Information:	Paul and Sosthenes wrote this letter to the Christians who belonged to the church in Corinth.
1CO	1	3	gc2b	figs-you		0	General Information:	Unless otherwise noted, such words as "you" and "your" refer to Paul's audience and so are plural. (See: [[rc://en/ta/man/translate/figs-you]])
1CO	1	4	pt1r			0	Connecting Statement:	Paul describes the believer's position and fellowship in Christ as they wait for his coming.
