Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
HEB	front	intro	xy4n			0		# Introduction to Hebrews<br>## Part 1: General Introduction<br><br>### Outline of the Book of Hebrews<br><br>1. Jesus is superior to God's prophets and angels (1:1-4:13)<br>1. Jesus is superior to the priests who serve in the temple in Jerusalem (4:14-7:28)<br>1. Jesus' ministry is superior to the old covenant that God made with his people (8:1-10:39)<br>1. What faith is like (11:1-40)<br>1. Encouragement to be faithful to God (12:1-29)<br>1. Concluding encouragements and greetings (13:1-25)<br><br>### Who wrote the Book of Hebrews?<br><br>No one knows who wrote Hebrews. Scholars have suggested several different people who could possibly be the author. Possible authors are Paul, Luke, and Barnabas. The date of writing is also not known. Most scholars think it was written before A.D. 70. Jerusalem was destroyed in A.D. 70, but the writer of this letter spoke about Jerusalem as if it had not yet been destroyed.<br><br>### What is the Book of Hebrews about?<br><br>In the Book of Hebrews, the author shows that Jesus fulfilled Old Testament prophecies. The author did this in order to encourage the Jewish Christians and to explain that Jesus is better than anything that the old covenant had to offer. Jesus is the perfect High Priest. Jesus was also the perfect sacrifice. Animal sacrifices became useless because Jesus' sacrifice was once and for all time. Therefore, Jesus is the one and only way for people to be accepted by God.<br><br>### How should the title of this book be translated?<br><br>Translators may choose to call this book by its traditional title, "Hebrews." Or they may choose a clearer title, such as "The Letter to the Hebrews" or "A Letter to the Jewish Christians." (See: [[rc://en/ta/man/translate/translate-names]])<br><br>## Part 2: Important Religious and Cultural Concepts<br><br>### Can readers understand this book without knowing about the sacrifices and the work of the priests required in the Old Testament?<br><br>It would be very difficult for readers to understand this book without understanding these matters. Translators might consider explaining some of these Old Testament concepts in notes or in an introduction to this book.<br><br>### How is the idea of blood used in the Book of Hebrews?<br><br>Beginning in [Hebrews 9:7](../../heb/09/07.md), the idea of blood is often used as metonymy to represent the death of any animal that was sacrificed according to God's covenant with Israel. The author also used blood to represent the death of Jesus Christ. Jesus became the perfect sacrifice so that God would forgive people for sinning against him. (See: [[rc://en/ta/man/translate/figs-metonymy]])<br><br>Beginning in [Hebrews 9:19](../../heb/09/19.md), the author used the idea of sprinkling as a symbolic action. Old Testament priests sprinkled the blood of the animals sacrificed. This was a symbol of the benefits of the animal's death being applied to the people or to an object. This showed that the people or the object was acceptable to God. (See: [[rc://en/ta/man/translate/translate-symaction]])<br><br>## Part 3: Important Translation Issues<br><br>### How are the ideas of "holy" and "sanctify" represented in Hebrews in the ULT?<br><br>The scriptures use such words to indicate any one of various ideas. For this reason, it is often difficult for translators to represent them well in their versions. In translating into English, the ULT uses the following principles:<br><br>* Sometimes the meaning in a passage implies moral holiness. Especially important for understanding the gospel is the fact that God views Christians as sinless because they are united to Jesus Christ. Another related fact is that God is perfect and faultless. A third fact that Christians are to conduct themselves in a blameless, faultless manner in life. In these cases, the ULT uses "holy," "holy God," "holy ones," or "holy people."<br>* Sometimes the meaning indicates a simple reference to Christians without implying any particular role filled by them. In these cases, the ULT uses "believer" or "believers." (See: 6:10; 13:24)<br>* Sometimes the meaning implies the idea of someone or something set apart for God alone. In these cases, the ULT uses "sanctify," "set apart," "dedicated to," or "reserved for." (See: 2:11: 9:13; 10:10, 14, 29; 13:12)<br><br>The UST will often be helpful as translators think about how to represent these ideas in their own versions.<br><br>### What are the major issues in the text of the Book of Hebrews?<br><br>For the following verses, modern versions of the Bible differ from older versions. The ULT text has the modern reading and puts the older reading in a footnote. If a translation of the Bible exists in the general region, translators should consider using the reading found in those versions. If not, translators are advised to follow the modern reading.<br><br>* "you crowned him with glory and honor" (2:7). Some older versions read, "you crowned him with glory and honor and you have put him over the works of your hands."<br>* "those who did not unite in faith with those who obeyed" (4:2). Some older versions read, "those who heard it without joining faith to it."<br>* "Christ came as a high priest of the good things that have come" (9:11). Some modern versions and older versions read, "Christ came as a high priest of the good things that are to come."<br>* "on those who were prisoners" (10:34). Some older versions read, "of me in my chains."<br>* "They were stoned. They were sawn in two. They were killed with the sword" (11:37). Some older versions read, "They were stoned. They were sawn in two. They were tempted. They were killed with the sword."<br>* "If even an animal touches the mountain, it must be stoned" (12:20). Some older versions read, "If even an animal touches the mountain, it must be stoned or shot with an arrow."<br><br>(See: [[rc://en/ta/man/translate/translate-textvariants]])<br>
HEB	1	intro	aaf9			0		# Hebrews 01 General Notes<br>## Structure and formatting<br><br>This chapter describes how Jesus is more important to us than the angels are.<br><br>Some translations set each line of poetry farther to the right than the rest of the text to make it easier to read. The ULT does this with the poetry in 1:5, 7-13, which are words from the Old Testament.<br><br>### "Our ancestors"<br><br>The writer wrote this letter to Christians who had grown up as Jews. This is why the letter is called "Hebrews."<br><br>## Important figures of speech in this chapter<br><br>### Rhetorical questions<br><br>The author uses rhetorical questions as a way of proving Jesus is better than the angels. Both he and the readers know the answers to the questions, and the writer knows that as the readers think about the answers to the questions, they will realize that God's Son is more important than any of the angels.<br><br>### Poetry<br><br>Jewish teachers, like the Old Testament prophets, would put their most important teachings in the form of poetry so that the hearers would be able to learn and remember them.<br>
HEB	1	1	c5f3			0	General Information:	Although this letter does not mention the recipients to whom it was sent, the author wrote particularly to Hebrews (Jews), who would have understood the many Old Testament references.
HEB	1	1	c5f3			0	General Information:	This prologue lays the background for the whole book: the unsurpassing greatness of the Son — the Son is greater than all. The book begins with emphasizing that the Son is better than the prophets and the angels.
HEB	1	2	scr8		ἐπ’ ἐσχάτου τῶν ἡμερῶν τούτων	1	in these last days	"in these final days." This phrase refers to the time when Jesus began his ministry, extending until God establishes his complete rule in his creation.
HEB	1	2	d386	guidelines-sonofgodprinciples		0	through a Son	"Son" here is an important title for Jesus, the Son of God. (See: [[rc://en/ta/man/translate/guidelines-sonofgodprinciples]])
HEB	1	2	i93z	figs-metaphor		0	to be the heir of all things	The author speaks of the Son as if he will inherit wealth and property from his Father. Alternate translation: "to possess all things" (See: [[rc://en/ta/man/translate/figs-metaphor]])
HEB	1	2	gqj8			0	It is through him that God also made the universe	"It is through the Son that God also made all things"
HEB	1	3	hn4q			0	the brightness of God's glory	"the light of his glory." God's glory is associated with a very bright light. The author is saying that the Son embodies that light and fully represents God's glory.
HEB	1	3	b7jc		τῆς δόξης, χαρακτὴρ τῆς ὑποστάσεως αὐτοῦ	1	glory, the exact representation of his being	"glory, the image of God's being." The "the exact representation of his being" is similar in meaning to "the brightness of God's glory." The Son embodies the character and essence of God and fully represents everything that God is. Alternate translation: "glory and is just like God" or "glory, and what is true about God is true about the Son"
